targetname,datetime_jd,datetime_str,H,G,e,q,incl,Omega,w,Tp_jd,n,M,nu,a,Q,P
101955 Bennu (1999 RQ36) (210195,2460676.5,A.D. 2025-Jan-01 00:00:00.0000,20.21,-0.031,0.203786790087078,0.8965282969248357,6.032829936910179,1.978178274223379,66.37558390356705,2460676.231626167,0.8249015875053959,0.221382000625837,0.3418787866305341,1.125990231966743,1.35545216700865,436.4156954633636
101955 Bennu (1999 RQ36) (210195,2460677.5,A.D. 2025-Jan-02 00:00:00.0000,20.21,-0.031,0.2037866700595485,0.8965282988895579,6.032826479379887,1.978099407611601,66.37570541095357,2460676.231659943,0.8249017713221382,1.046255959780172,1.615656591660242,1.125990064693603,1.355451830497648,436.4155982148011
101955 Bennu (1999 RQ36) (210195,2460678.5,A.D. 2025-Jan-03 00:00:00.0000,20.21,-0.031,0.2037865246552909,0.8965283035024475,6.032823119638393,1.978017705795663,66.37583024379737,2460676.231694043,0.8249019909206193,1.871130099695454,2.889163533330011,1.125989864859181,1.355451426215914,436.4154820359051
101955 Bennu (1999 RQ36) (210195,2460679.5,A.D. 2025-Jan-04 00:00:00.0000,20.21,-0.031,0.2037863536501831,0.8965283108867483,6.032819868556413,1.977933155444674,66.37595837507502,2460676.231728413,0.8249022464790468,2.696004574667363,4.162186945785758,1.125989632301351,1.355450953715954,436.4153468324253
101955 Bennu (1999 RQ36) (210195,2460680.5,A.D. 2025-Jan-05 00:00:00.0000,20.21,-0.031,0.2037861568707428,0.8965283211819773,6.032816737217317,1.977845749338247,66.3760897750971,2460676.231762996,0.8249025380744714,3.520879537516413,5.434514841991605,1.125989366950049,1.35545041271812,436.415192563633
101955 Bennu (1999 RQ36) (210195,2460681.5,A.D. 2025-Jan-06 00:00:00.0000,20.21,-0.031,0.2037859342161808,0.8965283345449925,6.032813736803913,1.977755484232765,66.37622441491015,2460676.231797744,0.8249028656470451,4.345755138018483,6.705936209879614,1.125989068859793,1.355449803174593,436.4150192612312
101955 Bennu (1999 RQ36) (210195,2460682.5,A.D. 2025-Jan-07 00:00:00.0000,20.21,-0.031,0.2037856856471821,0.8965283511520276,6.032810878731693,1.977662365900455,66.37636226471088,2460676.23183261,0.824903229014642,5.170631520079783,7.976241302876369,1.125988738196383,1.355449125240738,436.4148270216191
101955 Bennu (1999 RQ36) (210195,2460683.5,A.D. 2025-Jan-08 00:00:00.0000,20.21,-0.031,0.2037854111959966,0.8965283712003219,6.032808174551365,1.977566408335067,66.3765032951397,2460676.231867556,0.824903627854932,5.995508820627923,9.24522192884791,1.125988375253209,1.355448379306097,436.4146160153751
101955 Bennu (1999 RQ36) (210195,2460684.5,A.D. 2025-Jan-09 00:00:00.0000,20.21,-0.031,0.2037851109711089,0.8965283949094861,6.032805635809514,1.977467630610552,66.37664748076499,2460676.23190255,0.824904061696236,6.820387168557451,10.51267173368802,1.125987980459576,1.355447566009665,436.4143864920948
101955 Bennu (1999 RQ36) (210195,2460685.5,A.D. 2025-Jan-10 00:00:00.0000,20.21,-0.031,0.2037847851540934,0.896528422524088,6.032803274167144,1.977366063205864,66.3767947967207,2460676.23193757,0.8249045299188452,7.645266682077321,11.77838647587877,1.125987554379497,1.355446686234906,436.4141387796925
