pl_name,hostname,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_tranmid,st_teff
TOI-4961 b,TOI-4961,2025,7.479182,12.34108775,572.0911326,2459884.82079,5380.0
TOI-2345 b,TOI-2345,2025,1.0528573,1.504,3.49,2459116.7208,4687.0
TOI-2346 b,TOI-2346,2025,3.3312029,16.11851425,394.10722468,2459040.83958,6480.0
HIP 18606 b,HIP 18606,2025,674.94,14.0,244.72787339,,4860.0
TOI-6000 b,TOI-6000,2025,0.448959,0.94,0.779,2460109.917,3419.0
HD 101581 c,HIP 56998,2025,6.20401,0.99,0.937,2460017.114,4675.0
Ross 176 b,Ross 176,2025,5.0066338,1.84,4.57,2459829.7627,4041.0
Kepler-289 e,Kepler-289,2025,330.0716,2.94,17.4,2455173.987,5990.0
NGTS-31 b,NGTS-31,2025,4.162734,18.04645893,355.96781584,2459039.1615,5710.0
TOI-3464 b,TOI-3464,2025,3.6515568,13.7646283,397.28550875,2459703.56516,6370.0
TOI-3486 b,TOI-3486,2025,2.21778105,10.5700688,99.16246298,2459797.24218,4930.0
TOI-3837 b,TOI-3837,2025,11.88865,10.87271128,187.51876013,2458876.2853,5905.0
KMT-2023-BLG-2209L b,KMT-2023-BLG-2209L,2025,,13.9,254.2627256,,
TOI-4214 b,TOI-4214,2025,3.4913885,10.68215861,165.27077164,2459129.8346,6370.0
TOI-4465 b,TOI-4465,2025,101.94054,14.01122587,1872.00931723,2459395.1256,5545.0
TOI-5108 b,TOI-5108,2025,6.753581,6.6,32.0,2459569.4778,5808.0
TOI-5210 b,TOI-5210,2025,4.5661061,10.72699453,81.99972901,2459854.90873,5723.0
TOI-5340 b,TOI-5340,2025,4.9394392,15.07607904,270.15414595,2459712.57912,5990.0
TOI-5573 b,TOI-5573,2025,8.79758977,9.75,112.0,2459600.45078,3790.0
TOI-3474 b,TOI-3474,2025,3.8795105,14.67255574,193.87532827,2459789.28867,6020.0
TOI-1203 b,TOI-1203,2025,4.1572888,1.52,3.51,2458545.8916,5737.0
TOI-3523 A b,TOI-3523 A,2025,2.30458952,15.9727975,435.42491759,2460417.45562,6450.0
BEBOP-3 b,BEBOP-3,2025,547.0,14.2,177.34825111,,6033.0
HIP 41378 g,HIP 41378,2025,62.06,2.54,7.0,,6320.0
TOI-1203 e,TOI-1203,2025,204.59,7.31,42.1,2458915.45,5737.0
TOI-3593 b,TOI-3593,2025,3.8212867,11.02963701,565.73456446,2460055.72703,5550.0
TOI-7149 b,TOI-7149,2025,2.65206166,13.2,224.0,2459703.59605,3363.0
TOI-5800 b,TOI-5800,2025,2.6278838,2.46,9.5,2459771.7145,4850.0
TOI-5261 b,TOI-5261,2025,4.1509768,11.60129502,3651.84839643,2459716.931,5790.0
TOI-5350 b,TOI-5350,2025,7.581367,12.41955062,2094.48920213,2459611.65813,6220.0
