objid,ra,dec,z,class
1237667446191030403,180.156783176085,24.0361326103166,0.1757608,GALAXY
1237667446191030335,180.026600851577,24.0058443332623,0.1076312,GALAXY
1237667446190964906,179.871963842634,24.0620220547125,0.174384,GALAXY
1237667910591185131,179.907511484944,24.1200216644895,0.2392961,GALAXY
1237667446191030352,180.0557372136,24.051736369034,0.1753182,GALAXY
1237667910591316032,180.099613884505,24.1402658970773,0.1477598,GALAXY
1237667446191030409,180.177615175977,23.921026327796,0.1023244,GALAXY
1237667910591185079,179.892724125431,24.1051297114522,0.1622036,GALAXY
1237667910591316052,180.145695052562,24.1051065178382,0.1410211,GALAXY
1237667446191030357,180.062654583557,24.043767215705,0.1758685,GALAXY
