ra,dec,type,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z
179.9007077582919,22.90041677969996,PSF,0.077645,0.204476,0.723783,2.527079,3.346164,2710.031,617.1228,83.13282
179.9055543372338,22.90022608190298,PSF,0.544762,0.679056,1.469564,2.673486,2.737081,1980.8231,475.71228,82.23568
179.90272627227924,22.901604086060825,PSF,0.094419,0.111475,0.136409,-2.597726,-6.136431,2713.5696,619.7134,83.347305
179.9035015637073,22.90164435544864,PSF,0.163249,0.197415,0.115174,5.367476,5.954634,2667.2273,507.21893,83.20621
179.90622526238792,22.901596875956187,PSF,0.124759,0.212407,0.326092,0.435443,-1.976718,2159.2278,505.00064,83.10957
179.90640663707023,22.90417972289886,REX,0.185645,0.132544,0.130144,0.677321,-0.159309,1176.0413,276.776,45.274094
179.90580086510215,22.906046273893296,PSF,124.64871,182.14792,205.88419,57.018475,28.637964,106.05274,33.743088,27.331575
179.90682889387813,22.905649877030918,PSF,0.122002,0.137218,0.115836,-1.562034,-0.259258,2125.9153,500.85004,83.11489
179.9042735216332,22.90719100905587,REX,0.176406,0.289581,0.933557,6.212308,7.991276,1301.615,243.36368,40.109684
179.9025937221047,22.90841665289229,PSF,0.156555,0.071585,0.281224,0.499311,-1.005002,2670.4473,628.7193,83.04801
179.90481380259092,22.90827338675375,PSF,0.114046,0.083128,0.142259,0.605778,-1.394402,2169.21,511.81854,83.17667
179.91098029171,22.90735465954002,REX,0.54869,1.295263,2.320583,2.30674,-0.419842,881.4272,206.50818,34.489998
179.91538990349332,22.908558903951896,PSF,0.10545,0.26116,0.268461,0.732869,1.02567,2175.9385,506.70212,115.1594
179.90166231258524,22.91224623496948,REX,0.259757,0.457915,0.427412,-0.117647,-0.15397,1730.0815,397.1765,52.648487
179.90200596768355,22.92006039276512,PSF,0.087138,0.274546,0.107139,2.605574,1.614431,2109.0906,612.3877,82.95763
179.90403657479584,22.910562224458904,DEV,0.059453,0.673784,3.868044,12.902002,6.820518,1205.8824,215.6389,35.288483
179.90527487418922,22.913858734488567,REX,0.16036,0.312216,0.82634,2.177283,0.64529,1742.7263,402.57513,66.74653
