ra,dec,type,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z,photo_z,color_g-r,color_r-z,photo_z_calidad,distancia_photoz_Mpc
179.8001149635395,-0.196062041750397,PSF,4.075845,5.434723,5.932971,1.505412,2.356526,778.2289,318.03717,165.85829,0.0,0.3123993843147943,0.09523702978816928,buena,
179.80501027852287,-0.1999572131634114,REX,0.194029,0.44582,0.848432,2.011494,1.94471,515.15155,267.5716,129.10663,0.2306046236210138,0.9032322553640633,0.6986437318666532,buena,987.6218134501225
179.80667031140513,-0.1994883806341793,PSF,8.707559,16.338861,22.470457,6.577921,6.616095,154.51541,64.247635,120.6565,0.12272464281803952,0.6833133807646661,0.34597531751248667,buena,525.598890394173
179.8025409677422,-0.1951395501591488,REX,-0.095285,0.28233,1.407245,14.459581,13.998663,287.34634,194.01262,61.215015,,,,sin_datos,
179.80114114255727,-0.1935650217586714,EXP,0.345421,0.782267,1.633907,3.037666,3.528725,689.8681,232.24402,80.23441,0.24183104178359435,0.8875156818795595,0.7996808087580298,buena,1035.7017491000636
179.80019766680192,-0.1872412814653121,PSF,0.279027,0.364178,0.610064,0.96341,-0.016459,1251.5486,438.2962,178.95816,0.056315307270603826,0.28916869193739103,0.5601542285750405,buena,241.18434842399418
179.80346947960567,-0.1857997703953645,PSF,-0.001036,0.067935,0.57978,1.60322,-0.169654,616.66095,321.7931,159.33273,,,,sin_datos,
179.80540683757064,-0.1957258660832823,REX,0.224034,0.437713,1.403129,1.977798,2.342561,476.57687,244.15494,114.23792,0.27151275345987747,0.7271887806132149,1.2647703887104917,buena,1162.8210819726382
179.80716518487085,-0.1945284530566716,PSF,1.200335,4.435181,22.883993,15.012863,9.391039,308.63397,107.701546,120.17421,0.5219882208268336,1.419022196106308,1.7815511453350439,media,2235.5447395531887
179.81657342133488,-0.191958093689558,PSF,0.11849,0.306374,0.482614,-0.166252,1.062715,1043.8945,277.6344,130.91525,0.23186188303640504,1.0314255181392227,0.4933700233439957,buena,993.0063404570337
179.81681064300628,-0.1897606119814231,PSF,0.148495,0.261681,0.365411,-0.487239,1.251672,1043.0955,301.10904,130.94751,0.10816625980965816,0.6151509001402431,0.36252356516398265,buena,463.2489843000576
179.8049935872457,-0.1867185596502509,REX,0.119105,0.339059,1.359226,6.774264,3.181568,523.4409,268.12173,126.608765,0.41009695080548136,1.1358632083890114,1.5075409913881899,media,1756.3424700040048
179.80554301903902,-0.1825800362108286,PSF,0.147261,0.174796,0.517639,0.179542,3.110901,591.7883,317.1225,118.73984,0.12333815279121099,0.18610936199289796,1.1787387486199101,buena,528.2263998636671
179.815448615062,-0.1831416084554333,EXP,1.271577,1.892683,2.59097,-0.983509,1.429202,475.17282,67.25516,57.358074,0.05910369957184098,0.43183804358934097,0.3409612578300383,buena,253.12633387908218
179.819131945448,-0.1955095852048081,REX,0.36666,0.974906,1.854073,4.499673,0.749733,851.69995,212.7986,55.645283,0.2701235380663453,1.0617480228355234,0.6979102157164299,buena,1156.8714205795175
179.81901331308194,-0.193171598488694,PSF,0.272531,0.326897,0.643812,2.320086,0.711311,1026.1932,296.69922,80.01523,0.05975244034676573,0.1974875630245556,0.735870330604179,buena,255.90472804364668
179.82403348804863,-0.1938554586921239,REX,0.402723,0.638776,0.744513,0.193784,1.290941,815.3567,283.98462,77.21163,0.050160233781576295,0.5008553928043291,0.1663092372032935,buena,214.8237111319056
179.819524300966,-0.1913896635960043,PSF,0.092733,0.481897,0.95499,0.179614,-1.46524,1316.3022,295.036,76.7349,0.4587166709997744,1.7892997820197643,0.7426115032988889,buena,1964.5685474942813
179.82607362901706,-0.1946810128145111,PSF,0.128345,0.302664,0.632118,-0.954108,-2.22746,1291.3457,467.3961,124.864265,0.2528026544091231,0.9314545327264696,0.7995934748500382,buena,1082.690416489079
179.82979502507345,-0.1956074994451148,REX,0.254097,0.463968,0.729179,0.91837,1.997747,717.4822,245.78284,67.09642,0.1370601033194335,0.6537212265051338,0.4908653112876671,buena,586.9940752552418
179.82565285000334,-0.191024898938634,REX,0.223028,0.321423,1.549387,5.809578,2.396188,460.4777,154.78992,43.935146,0.2553545842946795,0.39679390096743106,1.707707393685478,media,1093.619692675288
179.82720179630223,-0.1907716937404377,REX,0.403614,0.73653,2.269757,15.453239,11.179364,475.39447,159.905,45.77538,0.24656098304407265,0.6530605474833848,1.2219723078215097,buena,1055.9589021954123
179.82462252065747,-0.1884501760147358,REX,0.362758,0.83834,0.204343,2.318827,-0.539651,221.14407,75.27346,23.511301,0.0,0.909507973659732,-1.532651058094043,media,
179.82392938098616,-0.1837842381839543,PSF,0.140026,0.19967,0.169741,-0.723021,-9.788622,1298.0623,469.86194,125.5334,0.0,0.38526033763768197,-0.17631515378679197,buena,
179.82536205870173,-0.1887887034951994,EXP,0.838132,2.492424,5.18855,14.385295,12.835871,441.90488,146.69089,43.106045,0.315227469457384,1.1832737552625936,0.7960602042782376,buena,1350.0402556821296
179.82536835015057,-0.1877277385664497,REX,0.267999,0.455845,0.904005,1.229525,-0.681171,819.692,279.49704,76.18701,0.1556851276354184,0.5767100550441775,0.7433840924958268,buena,666.7603869695115
179.82840681808148,-0.1842991171336023,REX,0.458841,1.041602,1.812031,2.66553,1.584614,728.9249,248.14972,57.741703,0.21269867400620707,0.8900989688178207,0.6011595453450127,buena,910.9351184808788
179.8297879931955,-0.1841227852181733,PSF,17.242443,63.534912,159.96489,96.93533,52.5708,273.2582,49.238316,41.250862,0.40438811071261915,1.4160340843946813,1.0025305974263254,buena,1731.8929385216031
179.80746511528815,-0.1797971252833533,REX,0.261953,0.554398,1.286768,8.785625,7.937371,136.19368,51.310627,49.27837,0.24062839792228913,0.8139956958493855,0.9141964930662851,buena,1030.5511268246448
179.81077637861932,-0.1786826985111308,PSF,0.108196,0.287972,0.542827,1.632885,2.635594,369.1337,147.05624,113.303375,0.26895360282760344,1.0628476435176317,0.6882779463213033,buena,1151.860881137757
179.81121692254638,-0.180476703281363,REX,0.173584,0.17699,0.613046,2.967334,2.767403,307.9809,123.361824,85.03383,0.10760352356531866,0.02109759350663154,1.348860834591072,buena,460.83892598725436
179.81441868636415,-0.1788354065012174,REX,0.165708,0.395306,1.36018,6.576888,4.460521,176.24487,67.015305,48.586426,0.3372423235224039,0.9439748262585113,1.3416574463851738,buena,1444.3243587201812
179.8154272503025,-0.1817984739479178,EXP,0.03629,0.5392,3.207148,25.567717,27.036205,161.27863,22.826254,19.410105,0.9228652414102034,2.929907288316766,1.9359227955400797,media,3952.4005589304033
179.81302538907295,-0.1764725295889059,PSF,0.266065,1.405322,17.895367,17.26451,13.570004,357.49545,134.56366,84.97676,0.7661043471272686,1.80697024209395,2.762411910691874,baja,3281.032932996701
