ra,dec,type,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z
150.00000062613842,20.55080012166069,REX,0.389254,0.400711,0.888195,1.071028,-1.368086,1167.6299,419.8587,79.27686
150.00000087743774,7.262565054761121,REX,0.536991,0.909149,2.200976,6.708534,6.73718,779.15955,252.05577,50.725697
150.00000092410917,-23.91416048238268,REX,0.0,0.0,3.940373,2.231499,1.84339,0.0,0.0,27.172478
150.00000132318206,24.140815274479777,PSF,0.342101,1.456939,8.129782,4.842909,1.8638,1483.411,475.94733,77.173004
150.00000162545106,-4.011955754848458,REX,0.115048,0.408413,0.751033,-0.386191,-0.571666,1786.1062,677.83765,140.98299
150.00000194746025,-23.9010224283272,REX,0.0,0.0,2.419753,7.653966,6.940476,0.0,0.0,15.656549
150.00000213106324,9.34051827032394,REX,0.020416,0.235962,1.440605,-3.041172,-2.375965,1375.2986,500.091,78.116425
150.00000239659752,14.999636214001091,REX,0.2716,0.41969,0.978455,-0.216079,-0.245289,803.88806,319.49017,35.804783
150.0000029007933,-8.236179108324194,DEV,2.434686,4.391414,6.821643,11.327896,8.951125,855.31274,278.60587,45.746883
150.00000328605847,6.884293718835917,EXP,3.275842,7.575608,13.444026,12.819404,10.952391,199.03989,86.030655,17.90955
150.0000036877638,19.35227260429209,PSF,0.087667,0.148536,0.12764,-1.229386,-0.191104,1721.2007,1126.7513,147.40022
150.00000380654245,-3.564008183111979,REX,0.089773,0.273754,1.329594,13.103127,12.561304,1213.4252,326.92612,77.723015
150.00000382831738,5.860502134773058,REX,0.655195,0.859418,0.881041,1.556746,2.582869,210.96199,78.94189,13.712906
150.00000390611353,11.134968259653574,PSF,0.150339,0.233829,0.501759,2.075364,4.099184,990.5774,309.1856,44.13053
150.0000039292216,-6.945591971180027,PSF,0.144291,0.147356,0.105697,-0.382402,-2.299053,1728.794,842.4129,182.96062
150.00000521178669,8.87409693978396,EXP,0.370096,0.619432,1.022019,-1.805033,-2.760757,1657.5494,467.85336,77.938065
150.00000524522562,20.562484884334445,REX,0.18429,0.244423,0.409068,2.060494,3.207001,1312.0868,485.07382,92.93772
150.00000574962735,-8.347443751591525,EXP,0.420162,1.005999,2.051214,4.873853,1.847704,663.5605,197.91159,32.660286
150.00000583244497,5.322644438023724,PSF,0.391365,1.004805,1.757494,13.269411,8.746478,1092.6871,474.3437,140.07501
150.00000648128702,6.947404663406028,REX,0.129814,0.275054,1.455875,6.70029,2.242253,615.26624,267.77084,70.06384
150.00000691194614,28.68106431194824,REX,0.225818,0.482162,1.233141,3.546262,2.041363,1488.0499,470.256,66.43413
150.0000070649478,21.161321974939757,REX,0.956623,2.417497,3.950586,3.556122,2.642664,748.2204,257.38672,57.625973
150.00000714748643,-26.82184702169026,PSF,0.0,0.0,2.719041,1.65828,0.765937,0.0,0.0,47.673447
150.00000763692023,-4.743905850104889,REX,0.276381,0.459955,1.253425,1.391698,0.596978,895.6621,318.66653,85.44987
150.00000766112095,-4.628344981003993,REX,0.206688,0.342161,0.717174,1.240272,1.359708,1130.1282,258.77533,105.211716
150.0000086338586,-5.541031598778806,REX,0.239939,0.744608,1.445233,1.359636,1.844802,682.7998,353.99728,97.29334
150.00000872158745,12.46546973490141,REX,0.315217,0.632985,0.635824,-1.956654,-1.454062,295.65326,106.51612,20.062723
150.00000903410154,3.7488072542484177,PSF,0.129182,0.217236,0.429149,0.345444,-2.441694,1124.7289,621.0591,140.23752
150.00000920986034,5.749912747421089,PSF,6.130844,18.075869,36.534584,19.490698,7.337791,851.2721,272.7574,58.172073
150.00000934502296,1.3104862468342555,REX,0.217033,0.564016,1.577784,7.627106,6.55223,1135.4907,388.6338,60.67782
150.0000096510012,19.180540170546863,DEV,1.835623,9.639982,36.378544,92.24481,48.914047,103.55219,37.25028,8.671009
150.00000966702302,16.391259243365184,REX,0.096669,0.174689,0.590278,2.968317,0.26257,1489.5328,721.22644,109.49277
150.00000983474504,1.2557943360523507,EXP,0.38988,0.996847,4.857907,21.69661,16.37472,495.318,156.28445,23.35271
150.00000986045393,-0.0393617139624951,DEV,0.29942,0.91107,3.677591,13.379815,10.043904,230.6591,78.30552,17.956821
150.0000099195121,9.590570813657324,REX,0.011425,0.081081,0.894316,5.744674,2.282974,1676.6285,476.48248,104.400566
150.00001048019465,14.802029340071938,REX,0.6576,1.240209,2.02764,1.431306,1.172475,912.3285,321.64923,40.930588
150.0000105929857,4.113122952173926,PSF,0.08945,0.438548,0.977539,2.96301,0.899325,1241.456,462.99597,128.0809
150.0000107817523,15.89868366925545,REX,0.102123,0.397271,1.438698,6.95997,5.00552,1268.8505,449.69046,48.814537
150.0000112501899,8.494546214862917,REX,0.102869,0.254031,0.886872,3.900656,-1.746387,1270.6014,451.56958,88.3144
150.00001225207748,15.134623351035629,REX,0.095011,0.429298,1.37016,-0.526755,-2.998752,1513.6162,540.18445,60.363
150.00001248055648,-1.0471026519350748,PSF,0.126202,0.176696,0.287589,-1.227645,2.006921,1737.3907,537.8069,115.76514
150.00001269603632,6.36904035052976,PSF,0.65101,1.997931,4.799421,10.516981,32.882614,1787.5758,736.5959,86.31502
150.00001273889302,-3.92131456424596,REX,0.30468,0.789468,1.255299,1.984032,0.040993,827.99884,290.66968,75.52935
150.00001274763832,19.941592109225247,PSF,0.220705,0.321985,0.20705,0.233526,-1.444921,1699.4313,613.6914,109.182755
150.00001387272476,-28.66240716983194,PSF,0.0,0.0,17.238592,7.390835,0.235091,0.0,0.0,51.004765
150.0000147583243,-22.39820673524341,SER,0.0,0.0,59.58225,67.514404,49.169033,0.0,0.0,8.532608
150.00001499255595,14.89049433187401,REX,0.1632,0.381534,0.507814,-1.222597,4.076972,1229.0889,519.7255,84.25207
150.00001517079082,24.62127301328593,REX,0.159356,0.695091,2.252997,8.653165,8.34366,829.7387,213.44283,41.964108
150.00001594427565,28.483653309418823,REX,0.554027,1.215953,3.619349,9.975006,5.482316,688.7561,222.61664,48.359016
150.00001598878848,25.289380987841422,REX,0.207779,0.45963,1.430465,5.050832,2.430034,1499.9525,385.87177,45.336105
150.00001642820496,-21.26054202912893,REX,0.0,0.0,7.111282,6.647054,-0.480311,0.0,0.0,17.952448
150.00001649035403,29.351416863669645,REX,0.320147,0.581671,0.760894,0.513226,0.547282,614.3517,163.38881,19.229359
150.00001672713069,15.510638301563818,PSF,0.209497,0.213412,0.510513,-0.098056,0.598474,1545.4817,566.51117,66.93785
150.00001728752378,-19.7308367745643,REX,0.0,0.0,2.072441,6.520646,1.340201,0.0,0.0,12.219963
150.00001750058243,-25.013510913158942,EXP,0.0,0.0,3.481941,7.653215,7.660626,0.0,0.0,38.260876
150.00001758250772,6.070152902356546,EXP,2.070253,3.052891,3.963412,-0.964389,-5.79685,1037.8705,339.33124,60.885597
150.00001801004703,27.369796497922465,REX,0.262302,0.314743,0.880736,1.961794,1.50005,555.845,134.50177,32.284748
150.00001802847348,-1.0162567199523234,REX,0.513055,0.622573,0.898527,0.971159,0.972996,820.0492,195.0161,60.284668
150.00001804184913,25.714579910334383,REX,0.199045,0.357349,0.51403,0.418608,-0.367835,1253.596,423.28546,72.08589
150.00001806941455,-6.304793196161797,REX,0.188369,0.401304,0.595311,0.222291,0.577721,1369.844,563.231,121.23395
150.000018091403,1.0914271870392758,PSF,0.321613,0.560047,0.7919,-0.501243,3.23363,1949.8928,781.87445,109.048676
150.0000182748134,4.343356461041415,REX,0.277568,0.395057,0.693044,27.073133,14.062954,994.5176,389.58203,96.59956
150.00001841144964,26.342019983566463,EXP,0.590733,1.313436,3.943848,10.700414,6.047395,221.54895,91.18384,19.028301
150.00001899754378,-1.8720219615713116,PSF,0.110669,0.146973,0.227779,1.862625,1.308204,1821.1908,575.2646,115.569244
150.00001955425986,14.628012200995666,REX,1.065043,3.630219,8.90675,20.506308,10.159601,856.0186,211.07582,40.820816
150.00001972026527,5.466280904026308,REX,0.407546,0.862733,2.414022,8.235144,6.643988,740.6893,312.00858,74.34467
150.000019790364,8.729119666463635,REX,0.242493,0.231169,0.512655,1.752267,4.160678,539.7264,230.09,41.89484
150.0000200100396,15.332067106290602,REX,0.193534,0.359727,0.213948,0.456924,1.461468,618.0056,253.0057,24.656208
150.00002042635649,-1.1794376580866708,PSF,0.419121,0.743556,0.754806,0.555435,-1.066277,1641.2053,515.0498,117.363716
150.00002081155674,15.090936383706229,REX,0.127947,0.310452,0.336389,2.519222,2.684707,1160.1794,414.45093,47.017845
150.00002105745213,16.69757500982873,REX,0.138984,0.225942,0.372832,8.234796,2.797644,1407.9476,415.471,81.92541
150.00002133384243,-2.329449514521853,REX,0.113124,0.273392,1.048832,2.566166,0.557587,1826.1552,608.42346,80.64709
