targetname,datetime_jd,datetime_str,H,G,e,q,incl,Omega,w,Tp_jd,n,M,nu,a,Q,P
4 Vesta (A807 FA),2460676.5,A.D. 2025-Jan-01 00:00:00.0000,3.25,0.32,0.09002070291147223,2.148532976326416,7.143938605693618,103.7036368572624,151.6391469827679,2460902.106839763,0.2716678876938947,298.7098663922309,289.1909417859058,2.361078964324388,2.57362495232236,1325.147418253697
4 Vesta (A807 FA),2460677.5,A.D. 2025-Jan-02 00:00:00.0000,3.25,0.32,0.09002118236911107,2.148534329040094,7.143938348290574,103.703623825075,151.6385241234962,2460902.104868347,0.2716674164236495,298.9821756999245,289.4832203448842,2.361081694883578,2.573629060727062,1325.149717029741
4 Vesta (A807 FA),2460678.5,A.D. 2025-Jan-03 00:00:00.0000,3.25,0.32,0.09002166769827062,2.148535675693989,7.143938101998556,103.7036109319343,151.6379007731211,2460902.102895254,0.271666943674249,299.2544848497161,289.7757442417246,2.361084434020986,2.573633192347982,1325.152023028865
4 Vesta (A807 FA),2460679.5,A.D. 2025-Jan-04 00:00:00.0000,3.25,0.32,0.09002215897053441,2.148537016158309,7.14393786661865,103.703598177165,151.6372769617928,2460902.100920565,0.2716664694382562,299.5267938164515,290.0685133109364,2.361087181779778,2.573637347401248,1325.154336287424
4 Vesta (A807 FA),2460680.5,A.D. 2025-Jan-05 00:00:00.0000,3.25,0.32,0.09002265625172454,2.148538350274049,7.143937641961296,103.7035855605088,151.636652731824,2460902.098944401,0.2716659937163528,299.7991025626857,290.36152736653,2.361089938156079,2.573641526038109,1325.156656802165
4 Vesta (A807 FA),2460681.5,A.D. 2025-Jan-06 00:00:00.0000,3.25,0.32,0.0900231596011401,2.148539677857706,7.143937427844253,103.7035730820696,151.6360281365632,2460902.096966919,0.2716655165167897,300.0714110397531,290.6547862031554,2.361092703102158,2.573645728346611,1325.158984532919
4 Vesta (A807 FA),2460682.5,A.D. 2025-Jan-07 00:00:00.0000,3.25,0.32,0.09002366907100538,2.148540998705449,7.143937224090802,103.7035607422634,151.6354032393267,2460902.094988307,0.2716650378548399,300.3437191887967,290.9482895971787,2.361095476529597,2.573649954353745,1325.161319405262
4 Vesta (A807 FA),2460683.5,A.D. 2025-Jan-08 00:00:00.0000,3.25,0.32,0.09002418470605471,2.148542312596938,7.143937030528149,103.703548541769,151.6347781123758,2460902.093008781,0.2716645577522619,300.6160269417643,291.2420373077126,2.361098258312397,2.573654204027856,1325.163661313131
4 Vesta (A807 FA),2460684.5,A.D. 2025-Jan-09 00:00:00.0000,3.25,0.32,0.09002470654324574,2.148543619298698,7.143936846986068,103.7035364814847,151.6341528359657,2460902.091028584,0.2716640762367874,300.8883342223406,291.5360290775698,2.361101048289951,2.573658477281204,1325.166010121329
4 Vesta (A807 FA),2460685.5,A.D. 2025-Jan-10 00:00:00.0000,3.25,0.32,0.09002523461157129,2.148544918567167,7.143936673295699,103.7035245624861,151.633527497446,2460902.089047982,0.2716635933416279,301.160640946838,291.8302646341638,2.361103846269898,2.573662773972628,1325.168365667922
